,type,id,tags,geometry
46,node,516059050,"{'man_made': 'surveillance', 'surveillance:type': 'camera'}",POINT (7.4458834 46.9469083)
47,node,529777903,"{'camera:mount': 'wall', 'check_date': '2022-09-14', 'man_made': 'surveillance', 'surveillance': 'outdoor', 'surveillance:type': 'camera'}",POINT (8.5018923 47.3923222)
48,node,546569171,{'man_made': 'surveillance'},POINT (8.0605673 47.5632531)
49,node,560601437,{'man_made': 'surveillance'},POINT (9.4760741 47.0163679)
50,node,564719101,"{'man_made': 'surveillance', 'surveillance:type': 'camera'}",POINT (7.4457414 46.9469076)
51,node,564719102,"{'man_made': 'surveillance', 'surveillance:type': 'camera'}",POINT (7.4457403 46.9472453)
52,node,565072468,"{'addr:city': 'Bern', 'addr:country': 'CH', 'addr:postcode': '3011', 'addr:street': 'Bahnhofplatz', 'man_made': 'surveillance', 'source': 'survey', 'surveillance': 'public'}",POINT (7.4394889 46.9486386)
53,node,565825574,"{'man_made': 'surveillance', 'surveillance': 'outdoor'}",POINT (8.6201612 47.3988011)
54,node,588522180,"{'camera:mount': 'building', 'camera:type': 'dome', 'man_made': 'surveillance', 'surveillance:type': 'camera', 'surveillance:zone': 'entrance'}",POINT (7.2301762 46.9019423)
55,node,593337950,"{'man_made': 'surveillance', 'surveillance': 'public'}",POINT (8.592943 47.4125411)
56,node,600529231,{'man_made': 'surveillance'},POINT (6.8858529 46.4809789)
57,node,600529348,{'man_made': 'surveillance'},POINT (6.9118767 46.5200989)
58,node,600529733,{'man_made': 'surveillance'},POINT (7.079238 46.6786997)
59,node,600529735,{'man_made': 'surveillance'},POINT (7.0817937 46.6808596)
60,node,600534746,{'man_made': 'surveillance'},POINT (7.8072532 47.3143873)
61,node,600536423,{'man_made': 'surveillance'},POINT (7.831341 47.3384411)
62,node,601011989,{'man_made': 'surveillance'},POINT (8.6747225 47.5923804)
63,node,601011994,{'man_made': 'surveillance'},POINT (8.6748925 47.5923093)
64,node,606585771,"{'camera:mount': 'wall', 'camera:type': 'dome', 'man_made': 'surveillance', 'surveillance': 'outdoor', 'surveillance:type': 'camera'}",POINT (8.9118026 47.5665657)
65,node,614556091,"{'camera:direction': '95', 'camera:mount': 'pole', 'camera:type': 'fixed', 'man_made': 'surveillance', 'surveillance': 'public', 'surveillance:type': 'camera', 'surveillance:zone': 'traffic'}",POINT (7.4643073 46.9670896)
66,node,615932816,"{'man_made': 'surveillance', 'name': 'EWZ', 'surveillance': 'outdoor'}",POINT (8.6242993 47.3797467)
67,node,616852706,{'man_made': 'surveillance'},POINT (8.4959731 47.3886372)
68,node,653313355,"{'camera:type': 'dome', 'man_made': 'surveillance', 'surveillance': 'outdoor', 'surveillance:type': 'camera'}",POINT (6.6520204 46.5261632)
69,node,654979444,{'man_made': 'surveillance'},POINT (8.4732539 47.3942636)
70,node,654979484,{'man_made': 'surveillance'},POINT (8.4737884 47.394413)
71,node,668512946,"{'camera:mount': 'wall', 'camera:type': 'dome', 'man_made': 'surveillance', 'surveillance': 'outdoor', 'surveillance:type': 'camera', 'surveillance:zone': 'parking'}",POINT (7.4251864 46.9417202)
72,node,670958334,"{'man_made': 'surveillance', 'surveillance': 'outdoor'}",POINT (8.6071771 47.400499)
73,node,670958337,"{'man_made': 'surveillance', 'surveillance': 'outdoor'}",POINT (8.6070516 47.4002858)
74,node,670958348,"{'man_made': 'surveillance', 'surveillance': 'outdoor'}",POINT (8.6065361 47.4005801)
75,node,670971368,"{'man_made': 'surveillance', 'surveillance': 'outdoor'}",POINT (8.6037314 47.4016462)
